nivel,portugues,frances
A1,conhecido,connu
A1,desconhecido,inconnu
A1,diferente,différent
A1,igual,pareil
A1,normal,normal
A1,especial,spécial
A1,maravilhoso,merveilleux
A1,horrível,horrible
A1,excelente,excellent
A1,péssimo,mauvais
A1,perfeito,parfait
A1,incorreto,incorrect
A1,agradável,agréable
A1,desagradável,désagréable
A1,leve,léger
A1,pesado,lourd
A1,estreito,étroit
A1,largo,large
A1,profundo,profond
A1,raso,superficiel
A1,redondo,rond
A1,quadrado,carré
A1,reto,droit
A1,torto,tordu
A1,brilhante,brillant
A1,opaco,mat
A1,colorido,coloré
A1,pálido,pâle
A1,fresco,frais
A1,gelado,glacé
A1,morno,tiède
A1,delicado,délicat
A1,forte (intenso),puissant
A1,fraco (leve),léger
A1,simpático (gentil),gentil
A1,estranho,bizarre
A1,comum,commun
A1,raro,rare
A1,luxuoso,luxueux
A1,simples (modesto),modeste
A1,limpo (arrumado),rangé
A1,bagunçado,en désordre
A1,quebrado,cassé
A1,inteiro,entier
A1,ocupado (trabalhando),occupé
A1,vazio (sem pessoas),désert
A1,doce (personalidade),doux
A1,amargo (personalidade),amer
A1,saudável (comida),sain
A1,gostoso,savoureux
A1,ruim,mauvais
A1,francês,français
A1,brasileiro,brésilien
A1,internacional,international
A1,local,local
A1,público,public
A1,privado,privé
A1,natural,naturel
A1,artificial,artificiel
A1,ocupado (sem tempo),débordé
A1,relaxado,détendu
A1,apressado,pressé
A1,próximo,proche
A1,distante,loin
A1,central,central
A1,periférico,périphérique
A1,sucesso,réussi
A1,fracassado,raté
A1,úmido,humide
A1,ensolarado,ensoleillé
A1,nublado,nuageux
A1,chuvoso,pluvieux
A1,inteligente,intelligent
A1,estudioso,studieux
A1,preguiçoso,paresseux
A1,atento,attentif
A1,distraído,distrait
A1,curioso,curieux
A1,criativo,créatif
A1,organizado,organisé
A1,desorganizado,désorganisé
A1,pontual,ponctuel
A1,atrasado,en retard
A1,rápido,rapide
A1,lento,lent
A1,calado,silencieux
A1,barulhento,bruyant
A1,educado,poli
A1,grosseiro,grossier
A1,responsável,responsable
A1,irresponsável,irresponsable
A1,motivado,motivé
A1,cansado,fatigué
A1,interessado,intéressé
A1,desinteressado,désintéressé
A1,participativo,participatif
A1,tímido,timide
A1,confiante,confiant
A1,nervoso,nerveux
A1,feliz,heureux
A1,triste,triste
A1,ocupado,occupé
A1,livre,libre
A1,difícil,difficile
A1,fácil,facile
A1,complicado,compliqué
A1,simples,simple
A1,importante,important
A1,necessário,nécessaire
A1,útil,utile
A1,inútil,inutile
A1,correto,correct
A1,incorreto,incorrect
A1,excelente,excellent
A1,bom,bon
A1,ruim,mauvais
A1,perfeito,parfait
A1,terrível,terrible
A1,claro,clair
A1,confuso,confus
A1,interessante,intéressant
A1,chato,ennuyeux
A1,novo,nouveau
A1,velho,vieux
A1,moderno,moderne
A1,antigo,ancien
A1,limpo,propre
A1,sujo,sale
A1,grande,grand
A1,pequeno,petit
A1,longo,long
A1,curto,court
A1,alto,haut
A1,baixo,bas
A1,aberto,ouvert
A1,fechado,fermé
A1,ocupado (sala),plein
A1,vazio,vide
A1,quieto,calme
A1,agitado,agité
A1,amigável,amical
A1,antipático,antipathique
A1,gentil,gentil
A1,severo,sévère
A1,paciente,patient
A1,impaciente,impatient
A1,engraçado,drôle
A1,sério,sérieux
A1,ativo,actif
A1,passivo,passif
A1,prático,pratique
A1,teórico,théorique
A1,oral,oral
A1,escrito,écrit
A1,digital,numérique
A1,manual,manuel
A1,coletivo,collectif
A1,individual,individuel
A1,público,public
A1,privado,privé
A1,acadêmico,académique
A1,escolar,scolaire
A1,universitário,universitaire
A1,primário,primaire
A1,secundário,secondaire
A1,internacional,international
A1,local,local
A1,francês,français
A1,brasileiro,brésilien
A1,obrigatório,obligatoire
A1,opcional,optionnel
A1,frequente,fréquent
A1,raro,rare
A1,popular,populaire
A1,famoso,célèbre
A1,desconhecido,inconnu
A1,escola,école
A1,sala de aula,salle de classe
A1,professor,professeur
A1,aluno,élève
A1,estudante,étudiant
A1,caderno,cahier
A1,livro,livre
A1,mochila,sac à dos
A1,mesa,table
A1,carteira,bureau
A1,cadeira,chaise
A1,lápis,crayon
A1,caneta,stylo
A1,borracha,gomme
A1,apontador,taille-crayon
A1,régua,règle
A1,tesoura,ciseaux
A1,cola,colle
A1,papel,papier
A1,folha,feuille
A1,quadro,tableau
A1,giz,craie
A1,marcador,marqueur
A1,computador,ordinateur
A1,tablet,tablette
A1,telefone,téléphone
A1,impressora,imprimante
A1,projetor,projecteur
A1,internet,internet
A1,wifi,wifi
A1,biblioteca,bibliothèque
A1,laboratório,laboratoire
A1,ginásio,gymnase
A1,pátio,cour
A1,cantina,cantine
A1,refeitório,cafétéria
A1,banheiro,toilettes
A1,corredor,couloir
A1,porta,porte
A1,janela,f fenêtre
A1,relógio,horloge
A1,calendário,calendrier
A1,horário,horaire
A1,aula,cours
A1,matéria,matière
A1,matemática,mathématiques
A1,francês,français
A1,português,portugais
A1,inglês,anglais
A1,história,histoire
A1,geografia,géographie
A1,ciências,sciences
A1,biologia,biologie
A1,física,physique
A1,química,chimie
A1,arte,art
A1,música,musique
A1,educação física,éducation physique
A1,prova,examen
A1,teste,test
A1,atividade,activité
A1,exercício,exercice
A1,dever de casa,devoirs
A1,nota,note
A1,resultado,résultat
A1,diploma,diplôme
A1,certificado,certificat
A1,grupo,groupe
A1,dupla,binôme
A1,amigo,ami
A1,colega,camarade
A1,diretor,directeur
A1,coordenador,coordinateur
A1,secretária,secrétaire
A1,funcionário,employé
A1,pais,parents
A1,reunião,réunion
A1,intervalo,pause
A1,recreio,récréation
A1,férias,vacances
A1,semestre,semestre
A1,ano,année
A1,mês,mois
A1,semana,semaine
A1,dia,jour
A1,manhã,matin
A1,tarde,après-midi
A1,noite,soir
A1,tempo,temps
A1,pergunta,question
A1,resposta,réponse
A1,explicação,explication
A1,leitura,lecture
A1,escrita,écriture
A1,pronúncia,prononciation
A1,conversa,conversation
A1,idioma,langue
A1,palavra,mot
A1,frase,phrase
A1,texto,texte
A1,tema,sujet
A1,projeto,projet
A1,pesquisa,recherche
A1,apresentação,présentation
A1,vídeo,vidéo
A1,jogo,jeu
A1,site,site
A1,trabalho,travail
A1,emprego,emploi
A1,empresa,entreprise
A1,escritório,bureau
A1,loja,magasin
A1,fábrica,usine
A1,cliente,client
A1,chefe,chef
A1,gerente,gérant
A1,colega,collègue
A1,funcionário,employé
A1,equipe,équipe
A1,reunião,réunion
A1,projeto,projet
A1,tarefa,tâche
A1,objetivo,objectif
A1,meta,but
A1,documento,document
A1,contrato,contrat
A1,salário,salaire
A1,pagamento,paiement
A1,dinheiro,argent
A1,conta,compte
A1,computador,ordinateur
A1,telefone,téléphone
A1,email,courriel
A1,mensagem,message
A1,agenda,agenda
A1,horário,horaire
A1,calendário,calendrier
A1,mesa,table
A1,cadeira,chaise
A1,sala,salle
A1,prédio,bâtiment
A1,elevador,ascenseur
A1,porta,porte
A1,janela,fenêtre
A1,chave,clé
A1,cartão,carte
A1,uniforme,uniforme
A1,relatório,rapport
A1,apresentação,présentation
A1,treinamento,formation
A1,curso,cours
A1,entrevista,entretien
A1,currículo,CV
A1,experiência,expérience
A1,profissão,profession
A1,carreira,carrière
A1,promoção,promotion
A1,férias,vacances
A1,pausa,pause
A1,almoço,déjeuner
A1,café,café
A1,água,eau
A1,impressora,imprimante
A1,internet,internet
A1,wifi,wifi
A1,site,site
A1,senha,mot de passe
A1,arquivo,fichier
A1,pasta,dossier
A1,planilha,tableur
A1,assinatura,signature
A1,data,date
A1,horas,heures
A1,minuto,minute
A1,segundo,seconde
A1,endereço,adresse
A1,cidade,ville
A1,país,pays
A1,viagem,voyage
A1,hotel,hôtel
A1,reserva,réservation
A1,transporte,transport
A1,carro,voiture
A1,ônibus,bus
A1,trem,train
A1,metrô,métro
A1,aviação,aviation
A1,mercado,marché
A1,venda,vente
A1,compra,achat
A1,produto,produit
A1,serviço,service
A1,estoque,stock
A1,entrega,livraison
A1,pedido,commande
A1,caixa,caisse
A1,recibo,reçu
A1,fatura,facture
A1,banco,banque
A1,seguro,assurance
A1,segurança,sécurité
A1,limpeza,nettoyage
A1,manutenção,maintenance
A1,engenheiro,ingénieur
A1,médico,médecin
A1,vendedor,vendeur
A1,atendente,réceptionniste
A1,motorista,chauffeur
A1,cozinha,cuisine
A1,restaurante,restaurant
B1,animado,animé
B1,assustado,effrayé
B1,confuso,confus
B1,preocupado,inquiet
B1,relaxado,détendu
B1,surpreso,surpris
B1,emocionado,ému
B1,decepcionado,déçu
B1,orgulhoso,fier
B1,envergonhado,honteux
B1,curioso,curieux
B1,corajoso,courageux
B1,prudente,prudent
B1,teimoso,têtu
B1,sincero,sincère
B1,honesto,honnête
B1,desonesto,malhonnête
B1,criativo,créatif
B1,talentoso,talentueux
B1,habilidoso,doué
B1,experiente,expérimenté
B1,inexperiente,inexpérimenté
B1,independente,indépendant
B1,responsável,responsable
B1,irresponsável,irresponsable
B1,organizado,organisé
B1,desorganizado,désorganisé
B1,paciente,patient
B1,impaciente,impatient
B1,otimista,optimiste
B1,pessimista,pessimiste
B1,amigável,amical
B1,reservado,réservé
B1,sociável,sociable
B1,extrovertido,extraverti
B1,introvertido,introverti
B1,educado,poli
B1,grosseiro,grossier
B1,calmo,calme
B1,agitado,agité
B1,sensível,sensible
B1,ambicioso,ambitieux
B1,motivado,motivé
B1,preguiçoso,paresseux
B1,ativo,actif
B1,passivo,passif
B1,flexível,flexible
B1,rígido,rigide
B1,moderno,moderne
B1,tradicional,traditionnel
B1,antiquado,démodé
B1,eficiente,efficace
B1,inútil,inutile
B1,prático,pratique
B1,teórico,théorique
B1,complexo,complexe
B1,simples,simple
B1,interessante,intéressant
B1,chato,ennuyeux
B1,divertido,amusant
B1,sério,sérieux
B1,importante,important
B1,necessário,nécessaire
B1,essencial,essentiel
B1,claro,clair
B1,vago,vague
B1,preciso,précis
B1,rápido,rapide
B1,lento,lent
B1,imediato,immédiat
B1,urgente,urgent
B1,disponível,disponible
B1,ocupado,occupé
B1,acessível,accessible
B1,confortável,confortable
B1,inconfortável,inconfortable
B1,barulhento,bruyant
B1,silencioso,silencieux
B1,seguro,sûr
B1,perigoso,dangereux
B1,caro,cher
B1,barato,bon marché
B1,saudável,sain
B1,doente,malade
B1,forte,fort
B1,fraco,faible
B1,pesado,lourd
B1,leve,léger
B1,largo,large
B1,estreito,étroit
B1,profundo,profond
B1,superficial,superficiel
B1,brilhante,brillant
B1,opaco,mat
B1,ensolarado,ensoleillé
B1,nublado,nuageux
B1,chuvoso,pluvieux
B1,gelado,glacé
B1,morno,tiède
```

B2,empresa multinacional,entreprise multinationale
B2,mercado de trabalho,marché du travail
B2,processo seletivo,processus de recrutement
B2,carta de apresentação,lettre de motivation
B2,habilidade,compétence
B2,qualificação,qualification
B2,especialização,spécialisation
B2,experiência profissional,expérience professionnelle
B2,gestão de projetos,gestion de projets
B2,liderança,leadership
B2,responsabilidade,responsabilité
B2,produtividade,productivité
B2,desempenho,performance
B2,eficiência,efficacité
B2,estratégia,stratégie
B2,planejamento,planification
B2,negociação,négociation
B2,empreendedorismo,entrepreneuriat
B2,inovação,innovation
B2,criatividade,créativité
B2,comunicação,communication
B2,colaboração,collaboration
B2,autonomia,autonomie
B2,motivação,motivation
B2,adaptação,adaptation
B2,flexibilidade,flexibilité
B2,organização,organisation
B2,pontualidade,ponctualité
B2,comprometimento,engagement
B2,desenvolvimento profissional,développement professionnel
B2,promoção,promotion
B2,demissão,licenciement
B2,contratação,embauche
B2,benefícios,avantages sociaux
B2,sindicato,syndicat
B2,contrato temporário,contrat temporaire
B2,contrato permanente,contrat à durée indéterminée
B2,home office,télétravail
B2,reunião virtual,réunion virtuelle
B2,videoconferência,visioconférence
B2,rede profissional,réseau professionnel
B2,departamento,département
B2,recursos humanos,ressources humaines
B2,setor financeiro,service financier
B2,marketing numérique,marketing digital
B2,atendimento ao cliente,service client
B2,análise de dados,analyse de données
B2,pesquisa de mercado,étude de marché
B2,tomada de decisão,prise de décision
B2,resolução de problemas,résolution de problèmes
B2,desafio,défi
B2,oportunidade,opportunité
B2,prazo,délai
B2,prioridade,priorité
B2,cronograma,planning
B2,reunião de equipe,réunion d’équipe
B2,feedback,retour
B2,avaliação,évaluation
B2,treinamento corporativo,formation en entreprise
B2,aprendizagem contínua,apprentissage continu
B2,carreira internacional,carrière internationale
B2,estágio,stage
B2,programa de trainee,programme de formation
B2,consultoria,consultation
B2,concorrência,concurrence
B2,investimento,investissement
B2,orçamento,budget
B2,lucro,bénéfice
B2,prejuízo,perte
B2,faturamento,chiffre d’affaires
B2,consumidor,consommateur
B2,fornecedor,fournisseur
B2,parceria,partenariat
B2,rede de contatos,réseau de contacts
B2,negócio,affaire
B2,expansão,expansion
B2,sustentabilidade,durabilité
B2,impacto ambiental,impact environnemental
B2,diversidade,diversité
B2,inclusão,inclusion
B2,igualdade,égalité
B2,ética profissional,éthique professionnelle
B2,confidencialidade,confidentialité
B2,segurança digital,sécurité numérique
B2,transformação digital,transformation numérique
B2,inteligência artificial,intelligence artificielle
B2,automação,automatisation
B2,engenharia,ingénierie
B2,tecnologia,technologie
B2,pesquisa,recherche
B2,desenvolvimento,développement
B2,solução,solution
B2,análise,analyse
B2,relatório técnico,rapport technique
B2,objetivo estratégico,objectif stratégique
B2,competitividade,compétitivité
B2,qualidade,qualité
B2,desempenho acadêmico,performance académique
B2,intercâmbio,échange universitaire
B2,certificação,certification
B2,fluência,courance
B2,aprendizado autônomo,apprentissage autonome
B2,eficiente,efficace
B2,produtivo,productif
B2,estratégico,stratégique
B2,inovador,innovant
B2,criativo,créatif
B2,competente,compétent
B2,qualificado,qualifié
B2,especializado,spécialisé
B2,responsável,responsable
B2,autônomo,autonome
B2,flexível,flexible
B2,adaptável,adaptable
B2,organizado,organisé
B2,metódico,méthodique
B2,rigoroso,rigoureux
B2,detalhista,minutieux
B2,analítico,analytique
B2,lógico,logique
B2,racional,rationnel
B2,persuasivo,persuasif
B2,diplomático,diplomate
B2,profissional,professionnel
B2,ético,éthique
B2,confiável,fiable
B2,pontual,ponctuel
B2,comprometido,engagé
B2,motivado,motivé
B2,ambicioso,ambitieux
B2,visionário,visionnaire
B2,competitivo,compétitif
B2,colaborativo,collaboratif
B2,comunicativo,communicatif
B2,extrovertido,extraverti
B2,introvertido,introverti
B2,carismático,charismatique
B2,simpático,sympathique
B2,gentil,aimable
B2,paciente,patient
B2,impaciente,impatient
B2,calmo,calme
B2,estressado,stressé
B2,sobrecarregado,surchargé
B2,efetivo,effectif
B2,útil,utile
B2,necessário,nécessaire
B2,essencial,essentiel
B2,relevante,pertinent
B2,significativo,significatif
B2,importante,important
B2,prioritário,prioritaire
B2,complexo,complexe
B2,simples,simple
B2,complicado,compliqué
B2,difícil,difficile
B2,acessível,accessible
B2,claro,clair
B2,confuso,confus
B2,objetivo,objectif
B2,subjetivo,subjectif
B2,preciso,précis
B2,vago,vague
B2,rápido,rapide
B2,lento,lent
B2,imediato,immédiat
B2,urgente,urgent
B2,atual,actuel
B2,moderno,moderne
B2,tradicional,traditionnel
B2,antiquado,démodé
B2,digital,numérique
B2,virtual,virtuel
B2,internacional,international
B2,local,local
B2,sustentável,durable
B2,ecológico,écologique
B2,diverso,divers
B2,inclusivo,inclusif
B2,igualitário,égalitaire
B2,seguro,sûr
B2,perigoso,dangereux
B2,confidencial,confidentiel
B2,público,public
B2,privado,privé
B2,financeiro,financier
B2,econômico,économique
B2,lucrativo,lucratif
B2,caro,coûteux
B2,barato,bon marché
B2,eficaz,efficace
B2,inútil,inutile
B2,excelente,excellent
B2,mediano,moyen
B2,péssimo,médiocre
B2,satisfatório,satisfaisant
B2,insuficiente,insuffisant
B2,brilhante,brillant
B2,talentoso,talentueux
B2,experiente,expérimenté
B2,inexperiente,inexpérimenté
B2,fluente,courant
B2,bilíngue,bilingue
B2,residência,résidence
B2,apartamento duplex,appartement en duplex
B2,cobertura,penthouse
B2,condomínio,copropriété
B2,bairro residencial,quartier résidentiel
B2,imóvel,bien immobilier
B2,proprietário,propriétaire
B2,inquilino,locataire
B2,contrato de aluguel,bail
B2,depósito de garantia,caution
B2,conta de luz,facture d’électricité
B2,conta de água,facture d’eau
B2,conta de internet,facture internet
B2,manutenção,entretien
B2,reforma,rénovation
B2,decoração,décoration
B2,mobiliado,meublé
B2,espaçoso,spacieux
B2,aconchegante,confortable
B2,barulhento,bruyant
B2,silencioso,silencieux
B2,iluminado,lumineux
B2,escuro,sombre
B2,ventilado,aéré
B2,moderno,moderne
B2,antiquado,démodé
B2,eletrodoméstico,appareil électroménager
B2,geladeira,réfrigérateur
B2,máquina de lavar,lave-linge
B2,lava-louças,lave-vaisselle
B2,aspirador de pó,aspirateur
B2,micro-ondas,micro-ondes
B2,forno embutido,four encastrable
B2,aquecedor,chauffage
B2,ar-condicionado,climatisation
B2,encanamento,plomberie
B2,torneira,robinet
B2,vazamento,fuite
B2,instalação elétrica,installation électrique
B2,tomada,prise électrique
B2,interruptor,interrupteur
B2,lâmpada ampoule
B2,cortina,rideau
B2,tapete,tapis
B2,sofá conversível,canapé convertible
B2,mesa de jantar,table à manger
B2,guarda-roupa,armoire
B2,estante,étagère
B2,prateleira,tablette
B2,varanda,balcon
B2,jardim,jardin
B2,quintal,cour arrière
B2,garagem,garage
B2,portão,portail
B2,fechadura,serrure
B2,sistema de segurança,système de sécurité
B2,câmera de vigilância,caméra de surveillance
B2,alarme,alarme
B2,vizinhança,voisinage
B2,mudança,déménagement
B2,endereço permanent,adresse permanente
B2,caixa de correio,boîte aux lettres
B2,conforto,confort
B2,privacidade,intimité
B2,rotina doméstica,routine domestique
B2,limpeza doméstica,ménage
B2,produtos de limpeza,produits ménagers
B2,detergente,détergent
B2,amaciante,adoucissant
B2,lixeira,poubelle
B2,reciclagem,recyclage
B2,sustentável,durable
B2,econômico,économique
B2,consumo de energia,consommation d’énergie
B2,painel solar,panneau solaire
B2,conexão sem fio,connexion sans fil
B2,rede doméstica,réseau domestique
B2,escritório em casa,bureau à domicile
B2,teletrabalho,télétravail
B2,ambiente tranquilo,environnement calme
B2,espaço de armazenamento,espace de rangement
B2,desorganizado,désordonné
B2,organizado,organisé
B2,arrumado,bien rangé
B2,bagunçado,en désordre
B2,cheiroso,parfumé
B2,úmido,humide
B2,seco,sec
B2,quente,chaud
B2,frio,froid
B2,temperatura ambiente,température ambiante
B2,água encanada,eau courante
B2,isolamento acústico,isolation acoustique
B2,isolamento térmico,isolation thermique
B2,residencial,résidentiel
B2,doméstico,domestique
B2,habitável,habitable
B2,acolhedor,accueillant
B2,funcional,fonctionnel
B2,prático,pratique
B2,elegante,élégant
B2,luxuoso,luxueux
B1,supermercado,supermarché
B1,carrinho de compras,caddie
B1,cesta,panier
B1,corredor,rayon
B1,promoção,promotion
B1,desconto,rabais
B1,preço,prix
B1,etiqueta,étiquette
B1,código de barras,code-barres
B1,caixa,caisse
B1,caixa automático,caisse automatique
B1,fila,file d’attente
B1,nota fiscal,reçu
B1,troco,monnaie
B1,cartão de crédito,carte de crédit
B1,cartão de débito,carte bancaire
B1,dinheiro em espécie,espèces
B1,cliente,client
B1,funcionário,employé
B1,gerente,gérant
B1,estoque,stock
B1,produto,produit
B1,marca,marque
B1,embalagem,emballage
B1,peso,poids
B1,quilo,kilo
B1,litro,litre
B1,data de validade,date de péremption
B1,produto vencido,produit périmé
B1,produto fresco,produit frais
B1,congelado,surgelé
B1,refrigerado,réfrigéré
B1,enlatado,en conserve
B1,orgânico,bio
B1,integral,complet
B1,sem açúcar,sans sucre
B1,sem glúten,sans gluten
B1,vegetariano,végétarien
B1,vegano,végane
B1,padaria,boulangerie
B1,açougue,boucherie
B1,peixaria,poissonnerie
B1,hortifruti,primeur
B1,laticínios,produits laitiers
B1,bebidas,boissons
B1,congelados,surgelés
B1,limpeza,produits ménagers
B1,higiene pessoal,hygiène personnelle
B1,papel higiênico,papier toilette
B1,detergente,détergent
B1,sabão,savon
B1,amaciante,adoucissant
B1,escova de dentes,brosse à dents
B1,pasta de dentes,dentifrice
B1,shampooing,shampooing
B1,sabonete,gel douche
B1,arroz,riz
B1,feijão,haricots
B1,macarrão,pâtes
B1,farinha,farine
B1,açúcar,sucre
B1,sal,sel
B1,óleo,huile
B1,manteiga,beurre
B1,queijo,fromage
B1,leite,lait
B1,ovos,œufs
B1,frango,poulet
B1,carne bovina,bœuf
B1,peixe,poisson
B1,maçã,pomme
B1,banana,banane
B1,laranja,orange
B1,uva,raisin
B1,alface,laitue
B1,tomate,tomate
B1,batata,pomme de terre
B1,cebola,oignon
B1,cenoura,carotte
B1,água mineral,eau minérale
B1,refrigerante,soda
B1,suco,jus
B1,café,café
B1,chá,thé
B1,biscoito,biscuit
B1,chocolate,chocolat
B1,sorvete,glace
B1,lanche,collation
B1,compras,courses
B1,lista de compras,liste de courses
B1,consumidor,consommateur
B1,economia,économie
B1,produto caro,produit cher
B1,produto barato,produit bon marché
B1,quantidade,quantité
B1,qualidade,qualité
B1,atendimento,service
B1,sacola,sac
B1,produto importado,produit importé

